Payee,APPG,Benefit,Value,Date paid,Date registered
Wychwood Consulting Ltd,All-Party Parliamentary Group on Digital Identity,"Yoti Ltd pays Wychwood Consulting Ltd to act on its behalf as the group's secretariat.
            •À_•À_
            From : 19/12/2017
            To  : 19/12/2018","10,501-12,000",19/12/17,26/01/18
Women in Transport,All-Party Parliamentary Group for Women in Transport,"Women in Transport are assisted by JFG Communications to act as the group's secretariat
            •À_•À_
            From : 12/09/2017
            To  : 11/09/2018","13,501-15,000",12/09/17,13/12/17
WhistleblowersUK,All-Party Parliamentary Group on Whistleblowing,"WhistleblowersUK is paid by Constantine Cannon LLP to act as the group's secretariat
            •À_•À_
            From : 10/07/2018
            To  : 09/07/2019","13,501-15,000",10/07/18,08/08/18
Antisemitism Policy Trust,All-Party Parliamentary Group Against Antisemitism,"Visit to Washington and New York
            •À_•À_
            From : 12/09/2018
            To  : 14/09/2018","9,001-10,500",12/09/18,18/09/18
Tunisian National Tourism Office UK and Ireland,All-Party Parliamentary Group on Tunisia,"Visit to Tunisia
            •À_•À_
            From : 06/11/2018
            To  : 09/11/2018
            •À_•À_
            Cost Met : Flights, accommodation, travel, food and drink.","10,501-12,000",06/11/18,03/12/18
China General Nuclear,All-Party Parliamentary Group on Nuclear Energy,"Visit to Taishan, China
            •À_•À_
            From : 04/11/2018
            To  : 08/11/2018
            •À_•À_
            Cost Met : Flights and other travel expenses, accommodation and food","52,501-54,000",04/11/18,03/12/18
Taipei Representative Office in the UK,British-Taiwanese All-Party Parliamentary Group,"Visit to Taipei
            •À_•À_
            From : 31/10/2018
            To  : 07/11/2018
            •À_•À_
            Cost Met : Flights, internal travel, accommodation and hospitality","13,501-15,000",31/10/18,26/11/18
Taipei Representative Office in the UK,British-Taiwanese All-Party Parliamentary Group,"Visit to Taipei
            •À_•À_
            From : 06/04/2018
            To  : 13/04/2018
            •À_•À_
            Cost Met : Flights, internal travel, accommodation and hospitality","28,501-30,000",06/04/18,11/05/18
Pakistan High Commission,All-Party Parliamentary Kashmir Group,"Visit to Pakistan and Kashmir
            •À_•À_
            From : 17/09/2018
            To  : 20/09/2018","10,501-12,000",17/09/18,15/10/18
Lebanese Parliament,All-Party Parliamentary Group for Lebanon,"Visit to Lebanon
            •À_•À_
            From : 07/11/2018
            To  : 10/11/2018","9,001-10,500",07/11/18,05/12/18
Kuwait National Assembly,All-Party Parliamentary Group on Kuwait,"Visit to Kuwait
            •À_•À_
            From : 06/11/2018
            To  : 09/11/2018
            •À_•À_
            Cost Met : Air fares, transport, food and accommodation","15,001-16,500",06/11/18,05/12/18
Antisemitism Policy Trust,All-Party Parliamentary Group Against Antisemitism,"Visit to Jerusalem
            •À_•À_
            From : 18/03/2018
            To  : 21/03/2018","1,501-3,000",18/03/18,28/03/18
Hong Kong Government,All-Party Parliamentary China Group,"Visit to Hong Kong
            •À_•À_
            From : 08/04/2018
            To  : 13/04/2018","48,001-49,500",08/04/18,07/08/18
"UB Holdings, Iraq",All-Party Parliamentary Group for the Kurdistan Region in Iraq,"Visit to Erbil, Slemani and Baghdad
            •À_•À_
            From : 24/05/2018
            To  : 30/05/2018","16,501-18,000",24/05/18,15/06/18
The Egyptian British Chamber of Commerce,All-Party Parliamentary Group on Egypt,"Visit to Egypt
            •À_•À_
            From : 12/02/2018
            To  : 14/02/2018","1,501-3,000",12/02/18,14/03/18
UAE Ministry of Foreign Affairs,United Kingdom-United Arab Emirates All-Party Parliamentary Group,"Visit to Dubai and Abu Dhabi
            •À_•À_
            From : 10/02/2018
            To  : 16/02/2018
            •À_•À_
            Cost Met : Air fares and accommodation","28,501-30,000",10/02/18,15/03/18
UN Global Compact Network UK,"All-Party Parliamentary Group on Sport, Modern Slavery and Human Rights","UN Global Compact Network UK is funded by the Institute for Human Rights and Business to act as the group's secretariat
            •À_•À_
            From : 29/01/2018
            To  : 28/01/2019","9,001-10,500",29/01/18,27/02/18
UK Thalassaemia Society,Sickle Cell and Thalassaemia All-Party Parliamentary Group,"UK Thalassaemia Society is funded by Novartis and Bluebird Bio to act as the group's (joint) secretariat
            •À_•À_
            From : 07/09/2018
            To  : 06/09/2019","13,501-15,000",07/09/18,03/12/18
UK Sepsis Trust,All-Party Parliamentary Group on Sepsis,"UK Sepsis Trust works with PB Consulting as the APPG•À_•À_s secretariat
            •À_•À_
            From : 18/07/2018
            To  : 17/07/2019","22,501-24,000",18/07/18,13/09/18
UK Defence Forum,All-Party Parliamentary Group for Defence and Security Issues,Two dinners held on 16/01/2018 and 31/01/2018,"1,501-3,000",31/01/18,05/02/18
The Whitehouse Consultancy,All-Party Parliamentary Media Group,"The Whitehouse Consultancy Ltd is funded by the following to pay for the group's annual reception: Alaraby (The New Arab), Arqiva, BritAsia TV, BT, Camelot, Discovery, Global, News UK, TimeWarner, UKTV, and Viacom.","15,001-16,500",18/07/18,21/08/18
