name,purpose,mmname,position,party
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Mrs Pauline Latham,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Baroness D'Souza,Deputy Chair,Crossbench
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Stephen Doughty,Secretary,Labour (Co-op)
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",The Earl of Sandwich,Treasurer,Crossbench
All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Baroness Hodgson of Abinger,Vice Chair,Conservative
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Chi Onwurah,Chair & Registered Contact,Labour
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord Chidgey,Co-Chair (Lords),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Mrs Pauline Latham,Vice Chair (East Africa),Conservative
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Jeremy Lefroy,Vice Chair (East Africa),Conservative
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord McConnell of Glenscorrodale,Vice Chair (Central and West Africa),Labour
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord Purvis of Tweed,Vie Chair (North Africa),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Lord Oates,Vice Chair (Southern Africa),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Baroness Northover,Vice Chair (Southern Africa),Liberal Democrat
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Patrick Grady,Secretary,Scottish National Party
All-Party Parliamentary Group for Africa,To promote mutually beneficial relationships between the UK and Africa.,Baroness Uddin,Treasurer,Non-affiliated
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",John Mann,Chair & Registered Contact,Labour
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Lord McConnell of Glenscorrodale,Vice Chair,Labour
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Mrs Pauline Latham,Vice Chair,Conservative
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Lord Chidgey,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Mr Ivan Lewis,Vice Chair,Independent
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,John Grogan,Chair & Registered Contact,Labour
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Martin Vickers,Vice-Chair,Conservative
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Lord Bowness,Vice Chair,Conservative
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Mr John Whittingdale,Secretary,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Andrew Bowie,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Mr Roger Godsiff,Vice Chair,Labour
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Lord Risby,Vice Chair,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Viscount Waverley,Vice Chair,Crossbench
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Lord McInnes of Kilwinning,Vice Chair,Conservative
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Baroness Northover,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Chi Onwurah,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Mr Laurence Robertson,Vice-Chair,Conservative
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Baroness Northover,Co-Chair,Liberal Democrat
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Lord Hughes of Woodside,Co-Chair,Labour
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Baroness Hooper,Co-Chair,Conservative
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Mike Gapes,Chair & Registered Contact,Labour (Co-op)
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Baroness Hooper,Co-Chair,Conservative
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Mr Tanmanjeet Singh Dhesi,Vice Chair,Labour
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Mr Philip Dunne,Vice Chair,Conservative
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Mark Menzies,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Christian Matheson,Vice Chair,Labour
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Angus Brendan MacNeil,Vice Chair,Scottish National Party
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Lord Faulkner of Worcester,Vice Chair,Labour
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Lord Kilclooney,Vice Chair,Crossbench
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Lord Addington,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Paul Farrelly,Treasurer,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Stephen Pound,Chair & Registered Contact,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",David Morris,Secretary,Conservative
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Angus Brendan MacNeil,Treasurer,Scottish National Party
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Mr John Whittingdale,Vice Chair,Conservative
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Baroness Cox,Vice Chair,Crossbench
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",John Mann,Vice Chair,Labour
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Ruth Cadbury,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Andrew Rosindell,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",John Spellar,Co-Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Sir Paul Beresford,Vice Chair,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Mr Roger Godsiff,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Nigel Dodds,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Lord Balfe,Vice Chair,Conservative
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Viscount Simon,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Baroness Golding,Vice Chair,Labour
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Deidre Brock,Vice Chair,Scottish National Party
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Michelle Donelan,Vice Chair,Conservative
