id,name,purpose,mmname,position,party
1,All-Party Parliamentary Group on Financial Technology,"To raise awareness in Parliament of the growing importance of Financial Technology (FinTech) to the UK economy, to policy making and to consumers. It aim to promote a regulatory framework that encourages a growing, inclusive and competitive FinTech Industry.",Adam Afriyie,Chair & Registered Contact,Conservative
2,Parliamentary Space Committee (an All-Party Parliamentary Group),"To raise awareness in Parliament of the importance and opportunities of space based capabilities to the UK economy, policy making, society and the space community; to highlight and promote the benefits from the UK's investment in space and its leading role within the global space economy.",Adam Afriyie,Patron,Conservative
3,All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Adam Holloway,Vice Chair,Conservative
4,All-Party Parliamentary Group for Kazakhstan,To increase parliamentary knowledge about Kazakhstan.,Adam Holloway,Vice Chair,Conservative
5,All-Party Parliamentary Group for Defence and Security Issues,"To explore short or long term issues which potentially could require responses from the UK's armed forces, blue light services, security and intelligence communities, industry or the civil power, alone, in coalitions or through membership of international bodies.",Adam Holloway,Vice Chair,Conservative
6,All-Party Parliamentary Group on Drones,"To examine the use of drones (unmanned aerial vehicles) by governments, for domestic and international, military and civilian purposes.",Adam Holloway,Chair & Registered Contact,Conservative
7,All-Party Parliamentary Kashmir Group,To support the right to self-determination of the Kashmiri people through dialogue; to seek support from British parliamentarians; to highlight the abuses of human rights in Kashmir; and to seek justice for the people there.,Afzal Khan,Honorary Vice President,Labour
8,All-Party Parliamentary Group on Pakistan,To provide a forum to discuss all matters related to Pakistan and also pertinent issues related to Pakistanis living in the UK.,Afzal Khan,Vice Chair,Labour
9,United Kingdom-United Arab Emirates All-Party Parliamentary Group,To promote good relations between the United Kingdom and the United Arab Emirates.,Afzal Khan,Vice Chair,Labour
10,All-Party Parliamentary Group on British Muslims,"To inform Parliament and parliamentarians of, and harness their support for, the aspirations and challenges of British Muslim communities; to promote and celebrate their contributions; and to investigate the forms, manifestations and extent of prejudice, discrimination and hatred against Muslims in the UK.",Afzal Khan,Vice Chair,Labour
11,All-Party Parliamentary Group on Islamic Finance,"To give the Islamic finance industry a voice in Parliament; to address issues as they arise such as Sukuk issuances, inclusivity, regulation and taxation whilst positioning the UK as the European hub of Islamic financial services, and also to play a wider role in promoting ethical finance.",Afzal Khan,Vice Chair,Labour
12,All-Party Parliamentary Group on Race and Community,To increase the coverage of race and equality issues in Parliament; to update members on race equality issues and up-to-date research; and to connect the group with race equality organisations.,Afzal Khan,Vice Chair,Labour
13,Chagos Islands (British Indian Ocean Territory) All-Party Parliamentary Group,To help bring about a resolution of the issues concerning the future of the Chagos Islands (British Indian Ocean Territory) and the Chagossians.,Alan Brown,Secretary,Scottish National Party
14,All-Party Parliamentary Group on Western Sahara,"To promote issues of mutual concern between British MPs and the Western Sahara, and ensure the subject is never far from the political agenda of the UK Parliament.",Alan Brown,Secretary,Scottish National Party
