Payee,APPG,Benefit,Value,Date paid,Date registered
Royal African Society,All-Party Parliamentary Group for Africa,"Secretariat
             
            From : 05/07/2018
            To  : 04/07/2019","24,001-25,500",05/07/2018,26/10/2018
Chatham House,All-Party Parliamentary Group on Angola,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","9,001-10,500",18/07/2018,07/11/2018
The West India Committee,Anguilla All-Party Parliamentary Group,"Secretariat
             
            From : 18/07/2018
            To  : 17/07/2019","3,001-4,500",18/07/2018,19/07/2018
"Embassy of Azerbaijan, London",All-Party Parliamentary Group on Azerbaijan,"Overseas visit
             
            From : 18/09/2018
            To  : 21/09/2018","3,001-4,500",18/09/2018,09/10/2018
Visit Britain,All-Party Parliamentary China Group,"4,500",23/03/2018,22/08/2018,NA
CBBC,All-Party Parliamentary China Group,"4,500",27/03/2018,22/08/2018,NA
John Swire and Sons,All-Party Parliamentary China Group,"11,000",10/09/2018,26/10/2018,NA
HSBC,All-Party Parliamentary China Group,"11,000",26/09/2018,26/10/2018,NA
Cambridge Assessment,All-Party Parliamentary China Group,"11,000",03/10/2018,26/10/2018,NA
Arup,All-Party Parliamentary China Group,"6,000",11/10/2018,26/10/2018,NA
Hong Kong Government,All-Party Parliamentary China Group,"Visit to Hong Kong
             
            From : 08/04/2018
            To  : 13/04/2018","48,001-49,500",08/04/2018,07/08/2018
Hong Kong Association,All-Party Parliamentary China Group,Dinner held on 22/1/0/2018,"1,501-3,000",22/10/2018,26/11/2018
The Egyptian British Chamber of Commerce,All-Party Parliamentary Group on Egypt,"Visit to Egypt
             
            From : 12/02/2018
            To  : 14/02/2018","1,501-3,000",12/02/2018,14/03/2018
Samir Takla,All-Party Parliamentary Group on Egypt,"Samir Takla acts as the group's secretariat and pays Eleni Athanasiadi to act help him fulfil that role
             
            From : 18/07/2018
            To  : 17/07/2019","4,501-6,000",18/07/2018,26/11/2018
HM Government of Gibraltar,All-Party Parliamentary Group on Gibraltar,"Secretariat
             
            From : 11/07/2018
            To  : 10/07/2019","1,501-3,000",11/07/2018,02/08/2017
PB Consulting,Indo-British All-Party Parliamentary Group,Breakfast event,"3,001-4,500",09/05/2018,05/06/2018
Corporation of the City of London,Indo-British All-Party Parliamentary Group,Breakfast event,"3,001-4,500",16/10/2018,01/11/2018
PB Consulting (with some funding from the Corporation of the City of London),Indo-British All-Party Parliamentary Group,"Secretariat
             
            From : 17/07/2018
            To  : 16/07/2019","7,501-9,000",17/07/2018,01/11/2018
Cedars Oak Ltd,All-Party Britain-Israel Parliamentary Group,"Secretariat
             
            From : 12/09/2018
            To  : 11/09/2019","24,001-25,500",12/09/2018,20/12/2018
Srixon Sports,All-Party Parliamentary Group on Japan,"1,800",25/02/2018,13/03/2018,NA
Hitachi,All-Party Parliamentary Group on Japan,"2,000",20/05/2018,19/06/2018,NA
Council for Arab-British Understanding,All-Party Parliamentary Jordan Group,"Secretariat
             
            From : 01/01/2018
            To  : 31/12/2018","1,501-3,000",01/01/2018,06/11/2018
Pakistan High Commission,All-Party Parliamentary Kashmir Group,"Visit to Pakistan and Kashmir
             
            From : 17/09/2018
            To  : 20/09/2018","10,501-12,000",17/09/2018,15/10/2018
"UB Holdings, Iraq",All-Party Parliamentary Group for the Kurdistan Region in Iraq,"Visit to Erbil, Slemani and Baghdad
             
            From : 24/05/2018
            To  : 30/05/2018","16,501-18,000",24/05/2018,15/06/2018
Gary Kent,All-Party Parliamentary Group for the Kurdistan Region in Iraq,"Gary Kent is paid by Kar Group to act as the APPG's secretariat
             
            From : 01/01/2018
            To  : 31/12/2018","57,001-58,500",18/06/2018,18/06/2018
Kuwait National Assembly,All-Party Parliamentary Group on Kuwait,"Visit to Kuwait
             
            From : 06/11/2018
            To  : 09/11/2018
             
            Cost Met : Air fares, transport, food and accommodation","15,001-16,500",06/11/2018,05/12/2018
Canning House,All-Party Parliamentary Group on Latin America,"Secretariat
             
            From : 04/07/2018
            To  : 03/07/2019","1,501-3,000",04/07/2018,30/10/2018
Lebanese Parliament,All-Party Parliamentary Group for Lebanon,"Visit to Lebanon
             
            From : 07/11/2018
            To  : 10/11/2018","9,001-10,500",07/11/2018,05/12/2018
Chatham House,All-Party Parliamentary Group on Nigeria,"Secretariat
             
            From : 11/07/2018
            To  : 10/07/2019","9,001-10,500",11/07/2018,06/11/2018
Council for Arab-British Understanding,Britain-Palestine All-Party Parliamentary Group,"Secretariat
             
            From : 04/07/2018
            To  : 03/07/2019","4,501-6,000",04/07/2018,12/07/2017
Prince Albert II of Monaco Foundation,All-Party Parliamentary Group for the Polar Regions,"10,000",06/02/2018,07/02/2018,NA
Mamont Foundation,All-Party Parliamentary Group for the Polar Regions,"50,000",02/02/2018,07/02/2018,NA
Mamont Foundation,All-Party Parliamentary Group for the Polar Regions,"10,000",29/05/2018,05/06/2018,NA
WWF UK,All-Party Parliamentary Group for the Polar Regions,"2,000",02/07/2018,10/10/2018,NA
Royal Norwegian Embassy in London,All-Party Parliamentary Group for the Polar Regions,"1,781",31/10/2018,14/11/2018,NA
Tearfund,All-Party Parliamentary Group for Sudan and South Sudan,"3,000",27/04/2018,20/07/2018,NA
Oxfam,All-Party Parliamentary Group for Sudan and South Sudan,"2,000",02/02/2018,20/07/2018,NA
CAFOD,All-Party Parliamentary Group for Sudan and South Sudan,"3,000",27/07/2018,06/09/2018,NA
Taipei Representative Office in the UK,British-Taiwanese All-Party Parliamentary Group,"Visit to Taipei
             
            From : 06/04/2018
            To  : 13/04/2018
             
            Cost Met : Flights, internal travel, accommodation and hospitality","28,501-30,000",06/04/2018,11/05/2018
Taipei Representative Office in the UK,British-Taiwanese All-Party Parliamentary Group,"Visit to Taipei
             
            From : 31/10/2018
            To  : 07/11/2018
             
            Cost Met : Flights, internal travel, accommodation and hospitality","13,501-15,000",31/10/2018,26/11/2018
Tunisian National Tourism Office UK and Ireland,All-Party Parliamentary Group on Tunisia,"Visit to Tunisia
             
            From : 06/11/2018
            To  : 09/11/2018
             
            Cost Met : Flights, accommodation, travel, food and drink.","10,501-12,000",06/11/2018,03/12/2018
UAE Ministry of Foreign Affairs,United Kingdom-United Arab Emirates All-Party Parliamentary Group,"Visit to Dubai and Abu Dhabi
             
            From : 10/02/2018
            To  : 16/02/2018
             
            Cost Met : Air fares and accommodation","28,501-30,000",10/02/2018,15/03/2018
Human Security Centre,All-Party Parliamentary Group on Yemen,"Joint Secretariat
             
            From : 06/07/2018
            To  : 05/07/2019","1,501-3,000",06/07/2018,12/09/2018
Adalah Yemen,All-Party Parliamentary Group on Yemen,"Joint Secretariat
             
            From : 06/07/2018
            To  : 05/07/2019","1,501-3,000",06/07/2018,12/09/2018
Max Appeal,All-Party Parliamentary Group for 22q11 Syndrome,"Secretariat
             
            From : 13/09/2018
            To  : 12/09/2019","1,501-3,000",13/09/2018,26/10/2018
UK Acquired Brain Injury Forum,All-Party Parliamentary Group on Acquired Brain Injury,"Secretariat
             
            From : 16/10/2018
            To  : 15/10/2019","1,501-3,000",16/10/2018,06/12/2018
WEA,All-Party Parliamentary Group for Adult Education,Reception,"3,001-4,500",16/10/2018,22/10/2018
