client,Lobbyist,Quarterly return period
Inmarsat,AA Access Partnership Limited,July to September 2017
Iridium Satellite LLC,AA Access Partnership Limited,January to March 2018
Trustonic,AA Access Partnership Limited,April to June 2018
Trustonic,AA Access Partnership Limited,July to September 2018
Trustonic,AA Access Partnership Limited,October to December 2016
CHESTERTON GLOBAL LIMITED,Anthony Gold Solicitors,April to June 2017
CHESTERTON GLOBAL LIMITED,Anthony Gold Solicitors,April to June 2018
CHESTERTON GLOBAL LIMITED,Anthony Gold Solicitors,January to March 2017
CHESTERTON GLOBAL LIMITED,Anthony Gold Solicitors,January to March 2018
CHESTERTON GLOBAL LIMITED,Anthony Gold Solicitors,July to September 2017
CHESTERTON GLOBAL LIMITED,Anthony Gold Solicitors,July to September 2018
CHESTERTON GLOBAL LIMITED,Anthony Gold Solicitors,October to December 2017
Residential Landlords Association,Anthony Gold Solicitors,April to June 2016
Residential Landlords Association,Anthony Gold Solicitors,April to June 2017
Residential Landlords Association,Anthony Gold Solicitors,April to June 2018
Residential Landlords Association,Anthony Gold Solicitors,January to March 2016
Residential Landlords Association,Anthony Gold Solicitors,January to March 2017
Residential Landlords Association,Anthony Gold Solicitors,January to March 2018
Residential Landlords Association,Anthony Gold Solicitors,July to September 2016
Residential Landlords Association,Anthony Gold Solicitors,July to September 2017
Residential Landlords Association,Anthony Gold Solicitors,July to September 2018
Residential Landlords Association,Anthony Gold Solicitors,October to December 2016
Residential Landlords Association,Anthony Gold Solicitors,October to December 2017
British Association of Pharmaceutical Wholesalers (BAPW),APCO Worldwide Ltd,July to September 2015
British Association of Pharmaceutical Wholesalers (BAPW),APCO Worldwide Ltd,October to December 2015
Cloburn Quarry Company,APCO Worldwide Ltd,October to December 2017
Danaher,APCO Worldwide Ltd,April to June 2018
Danaher,APCO Worldwide Ltd,July to September 2018
Equinix,APCO Worldwide Ltd,April to June 2016
Equinix,APCO Worldwide Ltd,April to June 2017
Equinix,APCO Worldwide Ltd,April to June 2018
Equinix,APCO Worldwide Ltd,January to March 2016
Equinix,APCO Worldwide Ltd,January to March 2017
Equinix,APCO Worldwide Ltd,July to September 2015
Equinix,APCO Worldwide Ltd,July to September 2016
Equinix,APCO Worldwide Ltd,July to September 2017
Equinix,APCO Worldwide Ltd,July to September 2018
Equinix,APCO Worldwide Ltd,October to December 2015
Equinix,APCO Worldwide Ltd,October to December 2016
Frugalpac,APCO Worldwide Ltd,April to June 2017
Frugalpac,APCO Worldwide Ltd,January to March 2017
Frugalpac,APCO Worldwide Ltd,July to September 2017
Frugalpac,APCO Worldwide Ltd,July to September 2018
Global Citizen,APCO Worldwide Ltd,January to March 2018
GML Ltd,APCO Worldwide Ltd,April to June 2015
GML Ltd,APCO Worldwide Ltd,April to June 2016
GML Ltd,APCO Worldwide Ltd,April to June 2017
GML Ltd,APCO Worldwide Ltd,April to June 2018
GML Ltd,APCO Worldwide Ltd,January to March 2015
GML Ltd,APCO Worldwide Ltd,January to March 2016
GML Ltd,APCO Worldwide Ltd,January to March 2017
GML Ltd,APCO Worldwide Ltd,January to March 2018
GML Ltd,APCO Worldwide Ltd,July to September 2015
GML Ltd,APCO Worldwide Ltd,July to September 2016
GML Ltd,APCO Worldwide Ltd,July to September 2017
GML Ltd,APCO Worldwide Ltd,July to September 2018
GML Ltd,APCO Worldwide Ltd,October to December 2015
GML Ltd,APCO Worldwide Ltd,October to December 2016
GML Ltd,APCO Worldwide Ltd,October to December 2017
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,April to June 2016
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,April to June 2017
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,April to June 2018
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,January to March 2016
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,January to March 2017
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,January to March 2018
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,July to September 2016
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,July to September 2017
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,July to September 2018
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,October to December 2016
Healthcare Distribution Association (HDA),APCO Worldwide Ltd,October to December 2017
KFC,APCO Worldwide Ltd,April to June 2018
KFC,APCO Worldwide Ltd,July to September 2018
Match Group,APCO Worldwide Ltd,April to June 2018
Match Group,APCO Worldwide Ltd,January to March 2018
Match Group,APCO Worldwide Ltd,July to September 2018
Match Group,APCO Worldwide Ltd,October to December 2017
Palo Alto Networks,APCO Worldwide Ltd,April to June 2017
Palo Alto Networks,APCO Worldwide Ltd,January to March 2017
Palo Alto Networks,APCO Worldwide Ltd,January to March 2018
Palo Alto Networks,APCO Worldwide Ltd,July to September 2017
Palo Alto Networks,APCO Worldwide Ltd,October to December 2017
Sodexo,APCO Worldwide Ltd,April to June 2016
Sodexo,APCO Worldwide Ltd,January to March 2016
Sodexo,APCO Worldwide Ltd,July to September 2015
Sodexo,APCO Worldwide Ltd,July to September 2016
Sodexo,APCO Worldwide Ltd,October to December 2015
Street Games,APCO Worldwide Ltd,April to June 2018
Street Games,APCO Worldwide Ltd,January to March 2018
Street Games,APCO Worldwide Ltd,July to September 2017
Street Games,APCO Worldwide Ltd,July to September 2018
Street Games,APCO Worldwide Ltd,October to December 2017
Teollisuuden Voima Oyj (TVO),APCO Worldwide Ltd,April to June 2017
Teollisuuden Voima Oyj (TVO),APCO Worldwide Ltd,January to March 2017
Teollisuuden Voima Oyj (TVO),APCO Worldwide Ltd,July to September 2017
Teollisuuden Voima Oyj (TVO),APCO Worldwide Ltd,October to December 2016
Teollisuuden Voima Oyj (TVO),APCO Worldwide Ltd,October to December 2017
Zaluvida,APCO Worldwide Ltd,January to March 2017
Zaluvida,APCO Worldwide Ltd,October to December 2016
CompTIA,AprilSix Proof,April to June 2018
CompTIA,AprilSix Proof,January to March 2018
CompTIA,AprilSix Proof,July to September 2018
SAS Institute,AprilSix Proof,April to June 2018
SAS Institute,AprilSix Proof,January to March 2018
SAS Institute,AprilSix Proof,July to September 2018
Cornish Lithium,Aspect Consulting,January to March 2018
Cornish Lithium,Aspect Consulting,July to September 2018
Fontem Ventures,Aspect Consulting,October to December 2017
Imperial Brands PLC,Aspect Consulting,July to September 2018
Royal Geological Society,Aspect Consulting,October to December 2016
Ashfield Land Management Limited,Atlas Communications Partners Ltd,April to June 2016
Ashfield Land Management Limited,Atlas Communications Partners Ltd,January to March 2016
Ashfield Land Management Limited,Atlas Communications Partners Ltd,July to September 2016
Ashfield Land Management Limited,Atlas Communications Partners Ltd,July to September 2017
GambleAware (formerly Responsible Gambling Trust),Atlas Communications Partners Ltd,October to December 2016
GambleAware (formerly Responsible Gambling Trust),Atlas Communications Partners Ltd,October to December 2017
GK Strategy Limited,Atlas Communications Partners Ltd,October to December 2016
New Nuclear Watch Europe (NNWE),Atlas Communications Partners Ltd,October to December 2016
Rail Central (Ashfield Land),Atlas Communications Partners Ltd,October to December 2016
Responsible Gambling Trust,Atlas Communications Partners Ltd,July to September 2016
Seajacks UK Limited,Atlas Communications Partners Ltd,April to June 2016
Seajacks UK Limited,Atlas Communications Partners Ltd,January to March 2016
Seajacks UK Limited,Atlas Communications Partners Ltd,January to March 2017
Seajacks UK Limited,Atlas Communications Partners Ltd,January to March 2018
Seajacks UK Limited,Atlas Communications Partners Ltd,July to September 2016
Seajacks UK Limited,Atlas Communications Partners Ltd,October to December 2016
Shakespeare Schools Foundation,Atlas Communications Partners Ltd,April to June 2016
Shakespeare Schools Foundation,Atlas Communications Partners Ltd,July to September 2016
TISA (Tax Incentivised Savings Association),Atlas Communications Partners Ltd,July to September 2018
Aquind,becg,July to September 2018
Barratt Developments,becg,October to December 2015
Bourne Leisure,becg,January to March 2018
Bourne Leisure Limited,becg,October to December 2017
Cash Converters (UK) Ltd,becg,July to September 2015
Drax Power,becg,October to December 2015
Furrer+Frey,becg,July to September 2018
Linden Homes,becg,April to June 2016
Linden Homes,becg,January to March 2016
Linden Homes,becg,July to September 2016
Linden Homes,becg,October to December 2015
McCarthy & Stone,becg,October to December 2015
Peel Land & Property,becg,October to December 2015
Radian,becg,July to September 2016
Stonewater,becg,April to June 2018
Stonewater,becg,July to September 2018
Stonewater,becg,October to December 2017
Stonewater Limited,becg,April to June 2017
Stonewater Limited,becg,January to March 2017
Stonewater Limited,becg,January to March 2018
Stonewater Limited,becg,July to September 2016
Stonewater Limited,becg,July to September 2017
Stonewater Limited,becg,October to December 2016
Vattenfall - Norfolk Vanguard,becg,July to September 2016
Viridor,becg,October to December 2015
Viridor Ltd,becg,July to September 2015
Heathrow Hub,Boscobel & Partners Ltd,April to June 2016
Heathrow Hub,Boscobel & Partners Ltd,April to June 2018
Heathrow Hub,Boscobel & Partners Ltd,January to March 2016
Heathrow Hub,Boscobel & Partners Ltd,January to March 2018
Heathrow Hub,Boscobel & Partners Ltd,July to September 2016
Heathrow Hub,Boscobel & Partners Ltd,July to September 2017
